sub,kind,target_x0,target_y0,response_x0,response_y0,target_orientation_deg,target_radius_pixels,which_eye,sub_num,match_x0,match_y0,response_r,response_theta,match_r,match_theta,target_radius_deg,target_ori_id,target_rad_id,target_id,error_x,error_y,error_r,error_theta,error_r_mu,error_r_sd
hb,A,1.14318,-2.77182,-1.61298,1.75392,292,192,bad,4,-1.14318,2.77182,2.3828428078243014,132.6029714699404,2.998307293257314,112.41268946863428,3,7,2,15,-0.4698,-1.0179,-0.6154644854330127,20.190282001306116,-0.2846275410560728,0.16871741501971432
hb,A,-1.14318,2.77182,1.47204,-2.64654,112,192,bad,4,1.14318,-2.77182,3.0283783999361766,-60.91661851534015,2.998307293257314,-67.58731053136572,3,3,2,11,0.32885999999999993,0.12528000000000006,0.03007110667886259,6.670692016025569,0.001325866628191238,0.4883851980380132
hb,A,6.46758,-2.67786,-4.7763,1.15884,337,448,bad,4,-6.46758,2.67786,4.914870480043192,166.36225243693863,7.000037516756607,157.5083133157831,7,8,4,32,1.69128,-1.5190199999999998,-2.0851670367134147,8.85393912115552,-1.6782438888217621,0.8092316684271071
hb,A,2.77182,1.14318,-1.91052,-1.50336,22,192,bad,4,-2.77182,-1.14318,2.4310857574343196,-141.80131482398158,2.998307293257314,-157.58731053136572,3,1,2,9,0.8613,-0.36017999999999994,-0.5672215358229944,15.785995707384131,-0.3359696592867201,0.40414106433027014
hb,A,-0.92394,-0.37584,1.65996,0.90828,202,64,bad,4,0.92394,0.37584,1.89220499946491,28.68614757373944,0.9974571816373874,22.135491878100353,1,5,1,5,0.7360200000000001,0.53244,0.8947478178275226,6.550655695639087,0.47614444063558015,0.36541597220814404
hb,A,2.67786,6.46758,-1.19016,-4.40046,67,448,bad,4,-2.67786,-6.46758,4.558566555091633,-105.1342781300188,7.000037516756607,-112.49168668421689,7,2,4,26,1.4876999999999998,2.06712,-2.441470961664974,7.357408554198088,-1.4731823610035089,0.5840714433747046
hb,A,0.92394,-0.37584,1.76958,-0.37584,337,64,bad,4,-0.92394,0.37584,1.809051984327703,-11.990834979039253,0.9974571816373874,157.86450812189966,1,8,1,8,2.69352,-0.75168,0.8115948026903157,-169.8553431009389,0.19618481746337324,0.2574353970279739
hb,A,-2.77182,-1.14318,3.30426,1.39374,202,192,bad,4,2.77182,1.14318,3.586174191976737,22.870063268237978,2.998307293257314,22.412689468634277,3,5,2,13,0.5324400000000002,0.2505599999999999,0.5878668987194229,0.45737379960370106,0.5263794717364776,0.5403963023194108
hb,A,-0.37584,0.92394,0.75168,-1.31544,112,64,bad,4,0.37584,-0.92394,1.5150594760602634,-60.25511870305777,0.9974571816373874,-67.86450812189965,1,3,1,3,0.37584,-0.39149999999999996,0.517602294422876,7.609389418841879,0.23971212017380727,0.268859233569713
hb,A,6.46758,2.67786,-2.85012,-3.00672,22,448,bad,4,-6.46758,-2.67786,4.1428914024869155,-133.46839220798898,7.000037516756607,-157.5083133157831,7,1,4,25,3.61746,-0.32886000000000015,-2.8571461142696917,24.03992110779413,-2.0281402073292067,0.7337505341484173
hb,A,0.92394,0.37584,-0.98658,-0.6264000000000001,22,64,bad,4,-0.92394,-0.37584,1.1686389760743052,-147.5876933816488,0.9974571816373874,-157.86450812189966,1,1,1,1,-0.06264000000000003,-0.25056000000000006,0.17118179443691783,10.27681474025087,-0.0576883638699853,0.30643800549199224
hb,A,-4.6197,1.91052,5.37138,-2.28636,157,320,bad,4,4.6197,-1.91052,5.837736303910961,-23.057319064606247,4.999171407383428,-22.46799697245953,5,4,3,20,0.7516800000000003,-0.3758400000000002,0.838564896527533,-0.5893220921467162,-0.21745535798706936,0.7773874027216449
